column_name,data_type,is_nullable
_airbyte_raw_id,STRING,NO
_airbyte_extracted_at,TIMESTAMP,NO
_airbyte_meta,JSON,NO
_airbyte_generation_id,INT64,YES
_id,STRING,YES
url,STRING,YES
name,STRING,YES
nome,STRING,YES
raca,STRING,YES
sexo,STRING,YES
mae_cpf,JSON,YES
mae_nome,STRING,YES
is_active,BOOL,YES
obito_ano,INT64,YES
created_at,STRING,YES
updated_at,STRING,YES
menor_idade,BOOL,YES
nome_social,JSON,YES
cpf_particao,INT64,YES
nascimento_uf,STRING,YES
documentos_cns,JSON,YES
email_indicador,BOOL,YES
email_principal,JSON,YES
nascimento_data,STRING,YES
nascimento_pais,STRING,YES
obito_indicador,BOOL,YES
email_alternativo,JSON,YES
endereco_indicador,BOOL,YES
nascimento_pais_id,STRING,YES
telefone_indicador,BOOL,YES
telefone_principal,JSON,YES
endereco_alternativo,JSON,YES
nascimento_municipio,STRING,YES
telefone_alternativo,JSON,YES
datalake_last_updated,STRING,YES
email_principal_valor,STRING,YES
email_principal_origem,STRING,YES
endereco_principal_cep,STRING,YES
telefone_principal_ddd,STRING,YES
telefone_principal_ddi,STRING,YES
email_principal_sistema,STRING,YES
nascimento_municipio_id,STRING,YES
telefone_principal_tipo,STRING,YES
telefone_principal_valor,STRING,YES
endereco_principal_bairro,STRING,YES
endereco_principal_estado,STRING,YES
endereco_principal_numero,STRING,YES
endereco_principal_origem,STRING,YES
telefone_principal_origem,STRING,YES
assistencia_social_cras_id,STRING,YES
endereco_principal_sistema,STRING,YES
saude_clinica_familia_nome,STRING,YES
telefone_principal_sistema,STRING,YES
endereco_principal_latitude,STRING,YES
endereco_principal_pluscode,STRING,YES
saude_clinica_familia_email,STRING,YES
assistencia_social_cras_nome,STRING,YES
endereco_principal_longitude,STRING,YES
endereco_principal_municipio,STRING,YES
telefone_principal_confianca,STRING,YES
telefone_principal_qualidade,STRING,YES
endereco_principal_logradouro,STRING,YES
saude_clinica_familia_id_cnes,STRING,YES
endereco_principal_complemento,STRING,YES
saude_clinica_familia_endereco,STRING,YES
saude_clinica_familia_telefone,STRING,YES
saude_clinica_familia_indicador,BOOL,YES
saude_equipe_saude_familia_nome,STRING,YES
telefone_principal_razao_optout,JSON,YES
telefone_principal_consentimento,JSON,YES
saude_equipe_saude_familia_id_ine,STRING,YES
telefone_principal_datahora_optin,JSON,YES
endereco_principal_tipo_logradouro,STRING,YES
saude_equipe_saude_familia_medicos,JSON,YES
telefone_principal_datahora_optout,JSON,YES
telefone_principal_indicador_optin,BOOL,YES
saude_equipe_saude_familia_telefone,STRING,YES
telefone_principal_estrategia_envio,STRING,YES
telefone_principal_indicador_optout,BOOL,YES
saude_equipe_saude_familia_indicador,BOOL,YES
assistencia_social_cadunico_indicador,BOOL,YES
assistencia_social_cadunico_id_familia,STRING,YES
ocupacao_trabalha_prefeitura_indicador,BOOL,YES
saude_equipe_saude_familia_enfermeiros,JSON,YES
telefone_principal_data_fim_quarentena,JSON,YES
telefone_principal_indicador_quarentena,BOOL,YES
telefone_principal_indicador_soft_optin,BOOL,YES
assistencia_social_cadunico_data_cadastro,STRING,YES
ocupacao_trabalha_prefeitura_vinculo_ativo,BOOL,YES
telefone_principal_datahora_ultima_leitura,JSON,YES
telefone_principal_datahora_ultima_resposta,JSON,YES
assistencia_social_cadunico_status_cadastral,STRING,YES
assistencia_social_cadunico_id_membro_familia,STRING,YES
saude_clinica_familia_horario_atendimento_sabado,STRING,YES
assistencia_social_programa_bolsa_familia_situacao,STRING,YES
saude_clinica_familia_horario_atendimento_dia_util,STRING,YES
assistencia_social_cadunico_data_ultima_atualizacao,STRING,YES
assistencia_social_programa_bolsa_familia_indicador,BOOL,YES
assistencia_social_cadunico_data_limite_cadastro_atual,STRING,YES
assistencia_social_programa_bolsa_familia_beneficio_familiar_faixa,STRING,YES
assistencia_social_programa_bolsa_familia_beneficio_familiar_valor,INT64,YES
_airbyte_raw_id,STRING,NO
_airbyte_extracted_at,TIMESTAMP,NO
_airbyte_meta,JSON,NO
_airbyte_generation_id,INT64,YES
_id,STRING,YES
cpf,STRING,YES
area,NUMERIC,YES
cnpj,STRING,YES
nire,STRING,YES
nome,STRING,YES
raca,STRING,YES
sexo,STRING,YES
tipo,STRING,YES
socios,JSON,YES
id_tipo,STRING,YES
mae_cpf,JSON,YES
subtipo,STRING,YES
data_fim,STRING,YES
geometry,STRING,YES
language,JSON,YES
latitude,NUMERIC,YES
mae_nome,STRING,YES
porte_id,STRING,YES
situacao,STRING,YES
categoria,STRING,YES
descricao,STRING,YES
id_bairro,STRING,YES
id_trecho,STRING,YES
longitude,NUMERIC,YES
obito_ano,INT64,YES
perimetro,NUMERIC,YES
sucessoes,JSON,YES
hierarquia,STRING,YES
id_chamado,STRING,YES
id_subtipo,STRING,YES
prazo_tipo,STRING,YES
updated_at,STRING,YES
cnae_fiscal,JSON,YES
data_inicio,STRING,YES
endereco_uf,STRING,YES
id_chavegeo,STRING,YES
menor_idade,BOOL,YES
nome_social,JSON,YES
reclamacoes,INT64,YES
tempo_prazo,JSON,YES
dentro_prazo,STRING,YES
endereco_cep,STRING,YES
geometry_wkt,STRING,YES
nome_parcial,STRING,YES
razao_social,STRING,YES
contato_email,STRING,YES
data_particao,STRING,YES
id_logradouro,STRING,YES
nascimento_uf,STRING,YES
nome_completo,STRING,YES
nome_exibicao,STRING,YES
nome_fantasia,STRING,YES
prazo_unidade,STRING,YES
subprefeitura,STRING,YES
tipo_situacao,STRING,YES
tipos_unidade,JSON,YES
capital_social,INT64,YES
contador_pf_id,STRING,YES
contador_pj_id,STRING,YES
documentos_cns,JSON,YES
formas_atuacao,JSON,YES
email_indicador,BOOL,YES
email_principal,JSON,YES
endereco_bairro,STRING,YES
endereco_numero,STRING,YES
nascimento_data,STRING,YES
nascimento_pais,STRING,YES
obito_indicador,BOOL,YES
porte_descricao,STRING,YES
responsavel_cpf,STRING,YES
situacao_trecho,STRING,YES
cnae_secundarias,JSON,YES
contato_telefone,JSON,YES
endereco_id_pais,JSON,YES
matriz_filial_id,STRING,YES
email_alternativo,JSON,YES
numero_logradouro,INT64,YES
orgao_registro_id,STRING,YES
origem_ocorrencia,STRING,YES
socios_quantidade,INT64,YES
endereco_indicador,BOOL,YES
ente_federativo_id,JSON,YES
id_situacao_trecho,STRING,YES
nascimento_pais_id,STRING,YES
telefone_indicador,BOOL,YES
telefone_principal,JSON,YES
endereco_logradouro,STRING,YES
id_territorialidade,STRING,YES
contador_pf_tipo_crc,STRING,YES
contador_pj_tipo_crc,STRING,YES
endereco_alternativo,JSON,YES
endereco_complemento,STRING,YES
ente_federativo_tipo,JSON,YES
id_area_planejamento,STRING,YES
id_origem_ocorrencia,STRING,YES
justificativa_status,JSON,YES
nascimento_municipio,STRING,YES
natureza_juridica_id,STRING,YES
telefone_alternativo,JSON,YES
data_alvo_diagnostico,STRING,YES
data_alvo_finalizacao,STRING,YES
data_real_diagnostico,STRING,YES
datalake_last_updated,STRING,YES
email_principal_valor,STRING,YES
endereco_id_municipio,STRING,YES
inicio_atividade_data,STRING,YES
situacao_cadastral_id,STRING,YES
email_principal_origem,STRING,YES
endereco_principal_cep,STRING,YES
final_numero_porta_par,INT64,YES
id_regiao_planejamento,STRING,YES
situacao_especial_data,JSON,YES
telefone_principal_ddd,STRING,YES
telefone_principal_ddi,STRING,YES
email_principal_sistema,STRING,YES
endereco_municipio_nome,STRING,YES
inicio_numero_porta_par,INT64,YES
matriz_filial_descricao,STRING,YES
nascimento_municipio_id,STRING,YES
situacao_cadastral_data,STRING,YES
telefone_principal_tipo,STRING,YES
endereco_tipo_logradouro,STRING,YES
final_numero_porta_impar,INT64,YES
id_regiao_administrativa,STRING,YES
nome_regiao_planejamento,STRING,YES
orgao_registro_descricao,STRING,YES
telefone_principal_valor,STRING,YES
endereco_principal_bairro,STRING,YES
endereco_principal_estado,STRING,YES
endereco_principal_numero,STRING,YES
endereco_principal_origem,STRING,YES
id_unidade_organizacional,STRING,YES
inicio_numero_porta_impar,INT64,YES
responsavel_inclusao_data,STRING,YES
telefone_principal_origem,STRING,YES
assistencia_social_cras_id,STRING,YES
contador_pf_sequencial_crc,STRING,YES
contador_pj_sequencial_crc,STRING,YES
email_principal_updated_at,STRING,YES
endereco_principal_sistema,STRING,YES
nome_regiao_administrativa,STRING,YES
saude_clinica_familia_nome,STRING,YES
telefone_principal_sistema,STRING,YES
endereco_principal_latitude,STRING,YES
endereco_principal_pluscode,STRING,YES
natureza_juridica_descricao,STRING,YES
nome_unidade_organizacional,STRING,YES
responsavel_qualificacao_id,STRING,YES
saude_clinica_familia_email,STRING,YES
situacao_especial_descricao,JSON,YES
assistencia_social_cras_nome,STRING,YES
endereco_principal_longitude,STRING,YES
endereco_principal_municipio,STRING,YES
situacao_cadastral_descricao,STRING,YES
situacao_cadastral_motivo_id,STRING,YES
telefone_principal_confianca,STRING,YES
telefone_principal_qualidade,STRING,YES
contador_pf_classificacao_crc,STRING,YES
contador_pj_classificacao_crc,STRING,YES
endereco_principal_logradouro,STRING,YES
endereco_principal_updated_at,STRING,YES
id_unidade_organizacional_mae,STRING,YES
saude_clinica_familia_id_cnes,STRING,YES
telefone_principal_updated_at,STRING,YES
endereco_principal_complemento,STRING,YES
