column_name,data_type,is_nullable
_airbyte_raw_id,STRING,NO
_airbyte_extracted_at,TIMESTAMP,NO
_airbyte_meta,JSON,NO
_airbyte_generation_id,INT64,YES
id,STRING,YES
cpf,STRING,YES
name,STRING,YES
email,STRING,YES
phone,STRING,YES
reason,STRING,YES
status,STRING,YES
curso_id,INT64,YES
updated_at,TIMESTAMP,YES
admin_notes,STRING,YES
enrolled_at,TIMESTAMP,YES
concluded_at,TIMESTAMP,YES
certificate_url,STRING,YES
custom_fields_data,STRING,YES
_airbyte_raw_id,STRING,NO
_airbyte_extracted_at,TIMESTAMP,NO
_airbyte_meta,JSON,NO
_airbyte_generation_id,INT64,YES
id,INT64,YES
theme,STRING,YES
turno,STRING,YES
status,STRING,YES
titulo,STRING,YES
orgao_id,INT64,YES
workload,STRING,YES
descricao,STRING,YES
created_at,TIMESTAMP,YES
modalidade,STRING,YES
objectives,STRING,YES
updated_at,TIMESTAMP,YES
cover_image,STRING,YES
data_inicio,DATETIME,YES
facilitator,STRING,YES
methodology,STRING,YES
data_termino,DATETIME,YES
formato_aula,STRING,YES
numero_vagas,INT64,YES
organization,STRING,YES
carga_horaria,INT64,YES
material_used,STRING,YES
instituicao_id,INT64,YES
link_inscricao,STRING,YES
pre_requisitos,STRING,YES
resources_used,STRING,YES
contato_duvidas,STRING,YES
has_certificate,BOOL,YES
program_content,STRING,YES
target_audience,STRING,YES
expected_results,STRING,YES
local_realizacao,STRING,YES
teaching_material,STRING,YES
institutional_logo,STRING,YES
enrollment_end_date,TIMESTAMP,YES
enrollment_start_date,TIMESTAMP,YES
certificacao_oferecida,BOOL,YES
data_limite_inscricoes,DATETIME,YES
